leg,leg_number,name,type,address,on_route,distance_from_route_m,interest_rating,description,interesting_fact_1,interesting_fact_2,interesting_fact_3,external_link,source_notes,latitude,longitude,geocode_confidence,image_path,verdict,text_length,photo_choice,map_icon_correct,note_text,new_gps_lat,new_gps_lon,new_gps_accuracy_m,reviewed_at
"Port Louis existing POIs (voice rewrite pass)","2","Port Louis Fire Station","building","Maillard St, Port Louis, Mauritius","","","","This is the Port Louis Fire and Rescue Service's main station, still a working municipal building - and the oldest fire station still in operation in Mauritius, housed in a handsome structure dating to 1906. It replaced an earlier station relocated from the port area in 1850, part of the city's long, hard-won response to the devastating fires of 1816 and 1892, back when most of Port Louis was still built from wood and straw.","In 1899, Merryweather built the world's first successful self-propelled steam fire engine, the ""Fire King"" - and the very first one off the production line was shipped straight to Port Louis, putting this small colonial fire station at the leading edge of firefighting technology for its era.","","","","Re-imported from sites.csv 2026-09-19 for the new-voice/multi-fact rewrite pass - was already promoted and live; original about_site_text/interesting_fact preserved as the starting point before rewrite. Rewritten 2026-09-19 to the blended second-person/sensory voice (see feedback_poi_narrative_voice_standard memory); existing fact split where the original text already carried more than one distinct nugget. Additional facts researched 2026-09-19 (real WebSearch pass, not restyle-only). User picked fact 2 during POI Reader review 2026-09-19; fact 1 dropped.","-20.164693","57.504012","promoted - already live in sites.csv","port-louis-fire-station.jpg","","","","","","","","",""
"Port Louis existing POIs (voice rewrite pass)","2","Café du Vieux Conseil","building","Rue du Vieux Conseil, Port Louis, Mauritius","","","","This is a restaurant, tucked among the historic government-quarter buildings near Government House on a street named simply 'Old Council Street.' Its real draw is the courtyard - veranda and timber kiosks shaded by large old trees, the kind of place where business people, diplomats and tourists in the know settle in for an unhurried meal off a menu that blends Mauritian, Indian and Italian dishes, often with live music drifting across the tables. It's been a quiet favourite of Port Louis's professional and diplomatic set for years, doubling as a venue for concerts, exhibitions and evening events when it's not simply full of people enjoying lunch.","The chef's specialty is a pancake served with either asparagus or thinly sliced smoked marlin - a small, telling sign of how thoroughly French, Indian and Mauritian culinary traditions blend together on a single menu here.","","","","Re-imported from sites.csv 2026-09-19 for the new-voice/multi-fact rewrite pass - was already promoted and live; original about_site_text/interesting_fact preserved as the starting point before rewrite. Rewritten 2026-09-19 to the blended second-person/sensory voice (see feedback_poi_narrative_voice_standard memory); existing fact split where the original text already carried more than one distinct nugget. Description rewritten 2026-09-19 per user request - lead clearly with ""restaurant,"" weave in the courtyard/live-music atmosphere and its reputation as a long-time business/diplomatic/insider-tourist spot.","-20.1641494","57.5039678","promoted - already live in sites.csv","port-louis-cafe-du-vieux-conseil.jpg","","","","","","","","",""
"Port Louis existing POIs (voice rewrite pass)","2","Port Louis Theatre","building","Remy Ollier St & Jules Koenig St, Port Louis, Mauritius","","","","This is the oldest theatre in the Indian Ocean region, and it's been putting on a show since 1822. Governor Robert Farquhar laid its first stone in 1820, architect Pierre Poujade built it in the style of a classic London playhouse, and the doors opened on 11 June 1822. Inside, three tiers of seating for around 600 people sit beneath an ornately painted dome of cherubs and chandeliers - for over a century, this was the island's only home for opera, drama and balls, until the Plaza Theatre opened in Rose Hill in 1933.","The theatre has closed its doors more than once over the centuries - shut for two years in the 1890s by a cyclone and a run of epidemics, then for seven years during the Second World War - but nothing compares to its most recent closure: it shut in 2008 for renovation and didn't reopen until 2025, seventeen years later.","","","","Re-imported from sites.csv 2026-09-19 for the new-voice/multi-fact rewrite pass - was already promoted and live; original about_site_text/interesting_fact preserved as the starting point before rewrite. Rewritten 2026-09-19 to the blended second-person/sensory voice (see feedback_poi_narrative_voice_standard memory); existing fact split where the original text already carried more than one distinct nugget. Additional facts researched 2026-09-19 (real WebSearch pass, not restyle-only). User picked fact 2 during POI Reader review 2026-09-19; fact 1 dropped.","-20.1635722","57.5043847","promoted - already live in sites.csv","port-louis-port-louis-theatre.jpg","","","","","","","","",""
"Port Louis existing POIs (voice rewrite pass)","2","Aurelie Perrine Passenger Terminal","building","Port Louis, Mauritius","","","","This is Port Louis's passenger ferry terminal, run by the Mauritius Ports Authority and operated by Mauritius Shipping Corporation under the Coraline service. From here, the ms Mauritius Trochetia sails several times a month to Rodrigues and Réunion, carrying both passengers and cargo - making this terminal the main sea link between mainland Mauritius and its outer islands. Rodrigues itself is a small autonomous island within the Republic of Mauritius, just 108 km² and home to around 44,000 people, most of Creole and African descent, governed from its own capital, Port Mathurin, by a locally elected Regional Assembly that's run the island's own affairs since it gained autonomy in 2002 - a genuinely distinct island community, not simply a satellite of the mainland. The terminal itself offers a canteen, money changer and duty-free shop for travellers waiting to board.","The crossing to Rodrigues, roughly 560km east across open ocean, takes about 36 hours outbound and around 24 hours coming back (longer in rough seas) - for most of the year, the Mauritius Trochetia is Rodrigues's lifeline for both people and freight, alongside its short air link.","","","","Re-imported from sites.csv 2026-09-19 for the new-voice/multi-fact rewrite pass - was already promoted and live; original about_site_text/interesting_fact preserved as the starting point before rewrite. Rewritten 2026-09-19 to the blended second-person/sensory voice (see feedback_poi_narrative_voice_standard memory); existing fact split where the original text already carried more than one distinct nugget. Additional facts researched 2026-09-19 (real WebSearch pass, not restyle-only). User picked fact 1 during POI Reader review 2026-09-19; fact 2 cleared. Description expanded 2026-09-19 with context on Rodrigues itself (autonomous status since 2002, 108 km², ~44,000 population, Port Mathurin capital, Regional Assembly) - WebSearch: Wikipedia Rodrigues.","-20.155356","57.4982434","promoted - already live in sites.csv","port-louis-aurelie-perrine.jpg","","","","","","","","",""
"Port Louis existing POIs (voice rewrite pass)","2","Eastern Roche Bois Cemetery","history","Cemetery Rd, Port Louis, Mauritius","","","","At the eastern edge of Port Louis, in the Roche Bois neighbourhood close to the docks, a dark basalt archway topped with a cross marks the entrance to this historic public cemetery. Rows of graves stretch back beneath the palms, generations of the city's residents laid to rest here - and the site is also formally recognised by the Commonwealth War Graves Commission for the burials it holds.","This isn't the only Commonwealth war cemetery in the city - Port Louis's Western Cemetery holds eight First World War graves and the New Western Cemetery two more, spread across three separate burial grounds rather than one central site.","","","","Re-imported from sites.csv 2026-09-19 for the new-voice/multi-fact rewrite pass - was already promoted and live; original about_site_text/interesting_fact preserved as the starting point before rewrite. Rewritten 2026-09-19 to the blended second-person/sensory voice (see feedback_poi_narrative_voice_standard memory); existing fact split where the original text already carried more than one distinct nugget. Additional facts researched 2026-09-19 (real WebSearch pass, not restyle-only). User picked fact 2 during POI Reader review 2026-09-19; fact 1 dropped.","-20.1476739","57.5016246","promoted - already live in sites.csv","port-louis-eastern-roche-bois-cemetery.jpg","","","","","","","","",""
"Port Louis existing POIs (voice rewrite pass)","2","Fort George","history","Port Louis, Mauritius","","","","This is the site of Fort George, the largest stone fortification ever built in Mauritius, guarding the northern entrance to Port Louis harbour. A fortification has stood here since Mahé de La Bourdonnais's time in 1730, but the British rebuilt it in earnest through the 19th century - naming it for King George III and IV - both to deter a French attack and to keep the island's slave-owning planters in check after the 1831 Mauritius Rebellion. By 1882 it carried a mix of upgraded Rifled Muzzle Loading guns, making it the most heavily armed post at the harbour mouth.","The crisis that built this fort was a genuine standoff: when word came in 1832 that slavery might be abolished without compensating owners, planters called it ""the signal of a civil war,"" formed an armed Volunteer corps of their own, and the government ordered every inhabitant to surrender their weapons to head off a possible uprising.","","","","Re-imported from sites.csv 2026-09-19 for the new-voice/multi-fact rewrite pass - was already promoted and live; original about_site_text/interesting_fact preserved as the starting point before rewrite. Rewritten 2026-09-19 to the blended second-person/sensory voice (see feedback_poi_narrative_voice_standard memory). Additional facts researched 2026-09-19 (real WebSearch pass, not restyle-only). User picked fact 2 during POI Reader review 2026-09-19; fact 1 dropped.","-20.1472519","57.4913463","promoted - already live in sites.csv","port-louis-fort-george.jpg","","","","","","","","",""
"Port Louis existing POIs (voice rewrite pass)","2","Christian Decotter Cruise Terminal","building","Port Louis, Mauritius","","","","This cruise-ship passenger terminal on the Port Louis waterfront at Les Salines carries the name of Christian Decotter, a Mauritian aviation and tourism figure who spent decades in commercial aviation and travel management with companies including Rogers and MTTB, and headed the Concorde travel agency from 1979. Renovated and reopened in 2008, the terminal was the first in the region able to berth the world's largest cruise ships - a 7,500-square-metre facility able to process up to 4,000 passengers at peak times across two access bridges, cementing Port Louis Harbour's role as the premier cruise hub of the Indian Ocean.","Decotter became the public face of Mauritian tourism policy in the 1990s: spokesperson for the PMSD party, then appointed Chairman of the Tourism Advisory Board in March 1995 under Minister Xavier-Luc Duval. Off duty he was a keen sportsman - a competitive volleyball and basketball player and multiple island tennis-tournament winner - before his death in July 2003.","","","","Re-imported from sites.csv 2026-09-19 for the new-voice/multi-fact rewrite pass - was already promoted and live; original about_site_text/interesting_fact preserved as the starting point before rewrite. Rewritten 2026-09-19 to the blended second-person/sensory voice (see feedback_poi_narrative_voice_standard memory). User combined facts 1+2 into a single fact during POI Reader review 2026-09-19.","-20.1564475","57.4921317","promoted - already live in sites.csv","port-louis-christian-decotter-cruise-terminal.jpg","","","","","","","","",""
"Port Louis existing POIs (voice rewrite pass)","2","Pere Laval Church & Museum","religious_building","27 Ste Croix Rd, Port Louis, Mauritius","","","","This is a major Catholic pilgrimage shrine in the Sainte-Croix district, built around the tomb of Father Jacques-Désiré Laval - a French missionary priest and trained doctor who spent nearly 23 years ministering to Mauritius's recently freed slaves, credited with converting 67,000 people to Christianity. Known as the ""Apostle of Mauritius,"" he died on 9 September 1864, and more than thirty thousand mourners followed his casket to the tomb opposite the church where it still lies today. He was beatified by Pope John Paul II in 1979, and the site is often described as the Lourdes of the Indian Ocean, with numerous miracles attributed to pilgrims who've visited since.","Every 8 September, people set out from across Mauritius on foot for an overnight march to reach the shrine by his feast day on the 9th - tens of thousands of pilgrims of every faith, some travelling from as far as France, South Africa and Britain, gather to mark the anniversary of his death.","","","","Re-imported from sites.csv 2026-09-19 for the new-voice/multi-fact rewrite pass - was already promoted and live; original about_site_text/interesting_fact preserved as the starting point before rewrite. Rewritten 2026-09-19 to the blended second-person/sensory voice (see feedback_poi_narrative_voice_standard memory). Additional facts researched 2026-09-19 (real WebSearch pass, not restyle-only). User picked fact 1 during POI Reader review 2026-09-19; facts 2/3 cleared.","-20.1481173","57.5291991","promoted - already live in sites.csv","port-louis-pere-laval-church.jpg","","","","","","","","",""
"Port Louis existing POIs (voice rewrite pass)","2","Plateau","viewpoint","Military Rd, Port Louis, Mauritius","","","","Climb up to this elevated vantage point - Le Plateau - off Military Road, and the packed rooftops of the capital spread out below you, down to the harbour and the Indian Ocean beyond. The name reflects the area's own history: after repeated disasters down in Port Louis itself - the great fire of 1816, recurring malaria outbreaks, cyclones - much of the population moved up here, to this cooler, healthier central plateau, and many residents still live on these slopes today.","On a clear day the view stretches from the high-rise towers of the city centre, past the harbour's cranes and cargo ships, all the way out to open ocean - a single sightline over more than two centuries of Port Louis's growth from a fire-prone colonial port to a modern capital.","","","","Re-imported from sites.csv 2026-09-19 for the new-voice/multi-fact rewrite pass - was already promoted and live; original about_site_text/interesting_fact preserved as the starting point before rewrite. Rewritten 2026-09-19 to the blended second-person/sensory voice (see feedback_poi_narrative_voice_standard memory).","-20.1556021","57.5223588","promoted - already live in sites.csv","port-louis-plateau.jpg","","","","","","","","",""
"Port Louis existing POIs (voice rewrite pass)","2","Viewpoint of Port-Louis","viewpoint","Signal Mountain Road, Mauritius","","","","Reach the summit of Signal Mountain - Montagne des Signaux, a 323-metre peak overlooking Port Louis - by the tarred road that makes it the easiest of the island's peaks to climb, on foot or by vehicle. The mountain takes its name from a French-era signal post once used to relay news of approaching ships to the harbour below, long since replaced by a modern antenna farm.","The signal station here dates to the French colonial period, when lookouts used flag signals from the summit to alert Port Louis merchants to incoming ships hours before they reached the harbour.","","","","Re-imported from sites.csv 2026-09-19 for the new-voice/multi-fact rewrite pass - was already promoted and live; original about_site_text/interesting_fact preserved as the starting point before rewrite. Rewritten 2026-09-19 to the blended second-person/sensory voice (see feedback_poi_narrative_voice_standard memory).","-20.1783","57.5010142","promoted - already live in sites.csv","port-louis-viewpoint.jpg","","","","","","","","",""
"Port Louis existing POIs (voice rewrite pass)","2","Rajiv Gandhi Science Center","museum","Old Moka Rd, Port Louis, Mauritius","","","","This interactive science museum in Port Louis was built through Indian government assistance, aimed at kindling scientific curiosity among young Mauritians through hands-on exhibits, models and outreach programmes - supplementing formal school science education with lectures, seminars and public science fairs.","The centre traces back to a 1994 Trust Fund Act; its foundation stone was laid in 1995 in the presence of Sonia Gandhi, and it finally opened to the public on 30 November 2004, a full decade after the enabling legislation was passed.","","","","Re-imported from sites.csv 2026-09-19 for the new-voice/multi-fact rewrite pass - was already promoted and live; original about_site_text/interesting_fact preserved as the starting point before rewrite. Rewritten 2026-09-19 to the blended second-person/sensory voice (see feedback_poi_narrative_voice_standard memory).","-20.173252","57.4845504","promoted - already live in sites.csv","port-louis-rajiv-gandhi-science-centre.jpg","","","","","","","","",""
"Port Louis existing POIs (voice rewrite pass)","2","La Tour Koenig","history","Tour Koenig, Port Louis, Mauritius","","","","This stone tower went up in the early 19th century, built by Henry Koenig - one of the founders of the Mauritius Commercial Bank - as a gift for his father, Jean Antoine Koenig, an immigrant from the small Bavarian town of Miltenberg am Main. It was never a functioning mill, despite the shape - homesickness for the towers lining his father's hometown riverfront, not any practical purpose, is what actually shaped its design. Standing about 17 metres tall in a Limousin stonework style unique on the island, it's now a national monument managed by the National Heritage Fund, within the grounds of the Nelson Mandela Cultural Centre.","The tower was left permanently unfinished after a worker fell to his death while placing its fifth carved stone coping - construction was never resumed.","","","","Re-imported from sites.csv 2026-09-19 for the new-voice/multi-fact rewrite pass - was already promoted and live; original about_site_text/interesting_fact preserved as the starting point before rewrite. Rewritten 2026-09-19 to the blended second-person/sensory voice (see feedback_poi_narrative_voice_standard memory). Additional facts researched 2026-09-19 (real WebSearch pass, not restyle-only); best material woven into the description itself per user request, not just left as a bullet fact.","-20.1799149","57.4697973","promoted - already live in sites.csv","port-louis-la-tour-koenig.jpg","","","","","","","","",""
