leg,leg_number,name,type,address,on_route,distance_from_route_m,interest_rating,description,interesting_fact,external_link,source_notes,latitude,longitude,geocode_confidence,image_path,verdict,text_length,photo_choice,map_icon_correct,note_text,new_gps_lat,new_gps_lon,new_gps_accuracy_m,reviewed_at
"Port Louis initial list","1","Port Louis Theatre","building","Remy Ollier St & Jules Koenig St, Port Louis, Mauritius","","","","The Port Louis Theatre, the oldest theatre in the Indian Ocean region. Governor Robert Farquhar laid its first stone in 1820, and architect Pierre Poujade built it in the style of classic London playhouses, with the theatre inaugurated on 11 June 1822. Inside, three tiers of seating for around 600 sit beneath an ornately painted dome ceiling of cherubs and chandeliers, and for over a century it was the island's sole home for opera, drama and balls, until the Plaza Theatre opened in Rose Hill in 1933.","The idea of bringing theatre to Mauritius dates back even earlier than the building itself - a French warship's health officer first brought a troupe to perform in Port Louis in 1790, though it was disbanded just two years later by a smallpox epidemic.","","GPS: Google Places single match. Not independently researched - worth a WebSearch pass if it becomes a shortlisted landmark (Mauritius has a historic Port Louis Theatre dating to the 1820s, but this wasn't confirmed against this specific listing). Confirmed via WebSearch (Opera Mauritius, GPSmyCity, vintagemauritius.org) that this listing is the historic 1822 Municipal Theatre; description expanded accordingly.","-20.1635722","57.5043847","confirmed - google places (single match)","port-louis-port-louis-theatre.jpg","","","","","","","","",""
"Port Louis initial list","1","Aurelie Perrine Passenger Terminal","building","Port Louis, Mauritius","","","","A passenger ferry terminal on the Port Louis waterfront, run by the Mauritius Ports Authority and operated by Mauritius Shipping Corporation under the Coraline service. From here, the ms Mauritius Trochetia sails several times a month to Rodrigues and Reunion Island, carrying both passengers and cargo, making the terminal the main sea link between mainland Mauritius and its outer islands. Facilities include a canteen, money changer and duty-free shop for travellers.","The crossing to Rodrigues, roughly 560km east across open ocean, takes about 36 hours outbound and around 24 hours on the return leg (longer in rough seas) - a reminder that for most of the year the Mauritius Trochetia is Rodrigues's lifeline for both people and freight, alongside its short air link.","","GPS: Google Places single match. Functional transport infrastructure, not independently researched. Expanded via WebSearch (Mauritius Shipping, Mauritius Ports Authority) per user request for longer description; crossing-time fact verified against a second WebSearch pass (Mauritius Shipping Corporation, Tripadvisor); photo requested but clipboard grab failed - repaste needed.","-20.155356","57.4982434","confirmed - google places (single match)","port-louis-aurelie-perrine.jpg","","","","","","","","",""
"Port Louis initial list","1","Eastern Roche Bois Cemetery","history","Cemetery Rd, Port Louis, Mauritius","","","","A historic public cemetery at the eastern edge of Port Louis, in the Roche Bois neighbourhood close to the docks, entered through a dark basalt archway topped with a cross. Rows of graves stretch back beneath the palms, reflecting generations of the city's residents, and the site is also recognised by the Commonwealth War Graves Commission for the burials it holds.","Tucked among the older graves are two Commonwealth war burials from the First World War, their granite headstones maintained by the CWGC - one near the entrance, the other by the boundary wall in the section marked 'E2'.","","GPS: Google Places single match. Not independently researched. Expanded via WebSearch (Commonwealth War Graves Commission) per user request for longer description; photo is user-provided.","-20.1476739","57.5016246","confirmed - google places (single match)","port-louis-eastern-roche-bois-cemetery.jpg","","","","","","","","",""
"Port Louis initial list","1","Fort George","history","Port Louis, Mauritius","","","","The site of Fort George, the largest stone fortification ever built in Mauritius, guarding the northern entrance to Port Louis harbour. A fortification has stood on this ground since Mahe de Labourdonnais's time in 1730, but the British rebuilt it in earnest in the 19th century - named for King George III and IV - both to deter a French attack and to keep the island's slave-owning planters in check after the 1831 Mauritius Rebellion. By 1882 it carried a mix of upgraded Rifled Muzzle Loading guns, making it the most heavily armed post at the harbour mouth.","Fort George was declared a national monument in 1998 and reconfirmed as national heritage in 2003, but much of the site has fallen into serious disrepair - heritage campaigners have pushed for years to save what remains of Mauritius's largest stone fort from being lost for good.","","GPS: Google Places, 2 near-identical candidates. Not independently WebSearch-verified - a Wikimedia image search for this entry returned an unrelated power-station photo, so image left blank. Expanded via WebSearch (pinkroutes.com Defence of British Ports, Mauritius Heritage, Mauritius Times) per user request for longer description; photo is user-provided.","-20.1472519","57.4913463","confirmed - google places (verified against 2 candidates)","port-louis-fort-george.jpg","","","","","","","","",""
"Port Louis initial list","1","Christian Decotter Cruise Terminal","building","Port Louis, Mauritius","","","","A cruise-ship passenger terminal on the Port Louis waterfront at Les Salines, named after Christian Decotter, a Mauritian aviation and tourism figure who spent decades in commercial aviation and travel management with companies including Rogers and MTTB, and headed the Concorde travel agency from 1979. Renovated and reopened in 2008, the terminal was the first in the region able to berth the world's largest cruise ships, cementing Port Louis Harbour's role as the premier cruise hub of the Indian Ocean - a 7,500-square-metre facility able to process up to 4,000 passengers at peak times across two access bridges.","Decotter became the public face of Mauritian tourism policy in the 1990s: spokesperson for the PMSD party, then appointed Chairman of the Tourism Advisory Board in March 1995 under Minister Xavier-Luc Duval. Off duty he was a keen sportsman - a competitive volleyball and basketball player and multiple island tennis-tournament winner - before his death in July 2003.","","GPS: Google Places single match. Functional port infrastructure. Expanded via WebSearch (Mauritius Ports Authority, GPSmyCity, CruiseMapper) per user request for longer description; photo is user-provided. Biographical detail on Christian Decotter (aviation/tourism career, PMSD spokesperson, Tourism Advisory Board chairman 1995, sportsman, d. July 2003) supplied directly by user via Google search.","-20.1564475","57.4921317","confirmed - google places (single match)","port-louis-christian-decotter-cruise-terminal.jpg","","","","","","","","",""
"Port Louis initial list","1","Pere Laval Church & Museum","religious_building","27 Ste Croix Rd, Port Louis, Mauritius","","","","A major Catholic pilgrimage shrine in the Sainte-Croix district, built around the tomb of Father Jacques-Desire Laval - a French missionary priest and trained doctor who spent nearly 23 years ministering to Mauritius's recently freed slaves and is credited with converting 67,000 people to Christianity. Known as the 'Apostle of Mauritius', he died on 9 September 1864, and more than thirty thousand mourners followed his casket to the tomb opposite the church where it still lies today. He was beatified by Pope John Paul II in 1979, and the site is often described as the Lourdes of the Indian Ocean, with numerous miracles attributed to pilgrims who have visited.","Every 8 September, people set out from across Mauritius on foot for an overnight march to reach the shrine by his feast day on the 9th - tens of thousands of pilgrims of every faith, some travelling from as far as France, South Africa and Britain, gather to mark the anniversary of his death.","","GPS: Google Places single match. General knowledge of Pere Laval's significance in Mauritian Catholic history - not individually WebSearch-verified this session, worth confirming dates/details if shortlisted. Renamed to Pere Laval Church & Museum and expanded via WebSearch (Lonely Planet, Wikipedia, Mauritius Attractions, Super Holidays Mauritius) per user request; photo is user-provided. Note: a separate Pere Laval Museum row also exists in this CSV (own photo/entry) - not merged, per literal scope of the request.","-20.1481173","57.5291991","confirmed - google places (single match)","port-louis-pere-laval-church.jpg","","","","","","","","",""
"Port Louis initial list","1","Plateau","viewpoint","Military Rd, Port Louis, Mauritius","","","","A scenic elevated vantage point ('Le Plateau') above Port Louis, off Military Road, looking out over the packed rooftops of the capital down to the harbour and Indian Ocean beyond. The name reflects the area's role in the city's history: after repeated disasters in Port Louis itself - the great fire of 1816, recurring malaria outbreaks and cyclones - much of the population moved up to this cooler, healthier central plateau, and many residents still live on these slopes today.","On a clear day the view stretches from the high-rise towers of the city centre, past the harbour's cranes and cargo ships, all the way out to the open ocean - a single sightline over more than two centuries of Port Louis's growth from a fire-prone colonial port to a modern capital.","","GPS: Google Places, 2 candidates (""Plateau"" and ""Le Plateau"" - same place, French/English naming). Not independently researched. Expanded via WebSearch (Britannica, State Magazine) per user request for longer description; photo is user-provided.","-20.1556021","57.5223588","confirmed - google places (verified against 2 candidates)","port-louis-plateau.jpg","","","","","","","","",""
"Port Louis initial list","1","Viewpoint of Port-Louis","viewpoint","Signal Mountain Road, Mauritius","","","","A lookout point atop Signal Mountain (Montagne des Signaux), a 323-metre peak overlooking Port Louis, reached by a tarred road that makes it the easiest of the island's peaks to climb on foot or by vehicle. The mountain takes its name from a French-era signal post once used to relay news of approaching ships to the harbour below, since replaced by a modern antenna farm.","The signal station here dates to the French colonial period, when lookouts used flag signals from the summit to alert Port Louis merchants to incoming ships hours before they reached the harbour.","","GPS: Google Places, 2 candidates (""Viewpoint of Port-Louis"" and generic ""Viewpoint"" nearby - same spot). Not independently researched. | Expanded via WebSearch (AllTrails, Expat.com, carrotmadman6 blog) 2026-09-17","-20.1783","57.5010142","confirmed - google places (verified against 2 candidates)","port-louis-viewpoint.jpg","","","","","","","","",""
"Port Louis initial list","1","Rajiv Gandhi Science Center","museum","Old Moka Rd, Port Louis, Mauritius","","","","An interactive science museum in Port Louis built through Indian government assistance, aimed at kindling scientific curiosity among young Mauritians through hands-on exhibits, models and outreach programmes. It supplements formal school science education and hosts lectures, seminars and science fairs for the public.","The centre traces back to a 1994 Trust Fund Act; its foundation stone was laid in 1995 in the presence of Sonia Gandhi, and it finally opened to the public on 30 November 2004, a decade after the enabling legislation was passed.","","GPS: Google Places single match. Not independently researched this session. | Expanded via WebSearch (High Commission of India Mauritius, MauritiusLII) 2026-09-17","-20.173252","57.4845504","confirmed - google places (single match)","port-louis-rajiv-gandhi-science-centre.jpg","","","","","","","","",""
"Port Louis initial list","1","La Tour Koenig","history","Tour Koenig, Port Louis, Mauritius","","","","A stone tower built in the early 19th century by Henry Koenig, a founder of the Mauritius Commercial Bank, as a gift for his Bavarian-born father to remind him of the windmills of his homeland - it was never a functioning mill. Standing about 17 metres tall in a Limousin stonework style unique on the island, it is now a national monument managed by the National Heritage Fund, within the grounds of the Nelson Mandela Cultural Centre.","The tower was left permanently unfinished after a worker fell to his death while placing its fifth carved stone coping - construction was never resumed.","","GPS: Google Places single match (resolved as the sublocality 'Tour Koenig' rather than the specific structure - Wikimedia image search separately found ""La Tour Koenig Windmill"", suggesting it IS a windmill; coordinates should be double-checked against the actual structure, not just the neighbourhood centroid, before promotion. | Expanded via WebSearch (SOS Patrimoine en Péril, Explory, The Bill Beaver Project) 2026-09-17. Confirms this is a decorative folly tower, not a working windmill as earlier source_notes speculated.","-20.1799149","57.4697973","needs manual verification - resolved to neighbourhood centroid, not the structure itself","port-louis-la-tour-koenig.jpg","","","","","","","","",""
"Port Louis initial list","1","Martello Tower","history","Port Louis, Mauritius","","","","A squat coastal defence tower built by the British between 1832 and 1835, one of five raised around Mauritius after the 1810 conquest from France amid fears of a French counter-attack. Its design copied the Torra di Mortella in Corsica, which had impressed British forces for its thick basalt walls, flat gun roof and self-contained garrison quarters. Restored in 1992 with funding from the Mauritian government and several foreign missions, it reopened as a museum in 2000 and is now a protected national heritage site.","Despite being purpose-built for war, none of Mauritius's Martello towers ever fired a shot in anger - they were rendered obsolete by advances in artillery before any French attack materialised.","","GPS: Google Places single match. General knowledge of Martello towers' purpose - not individually WebSearch-verified for this specific tower. | Expanded via WebSearch (Martellotowers.co.uk, Mauritius Attractions, Kupi.com) 2026-09-17","-20.1678097","57.4719236","confirmed - google places (single match)","port-louis-martello-tower.jpg","","","","","","","","",""
"Port Louis initial list","1","Memoire Des Naufrages Du Stargate","history","Port Louis, Mauritius","","","","A memorial to the ten people who died when the pleasure boat Stargate sank in rough seas near Baie-du-Tombeau while returning from a day trip to Île Plate, off the north coast. Fourteen young holidaymakers and crew were aboard; only four survived. The tragedy led to manslaughter charges against the boat's owner, Donald Veerabadren, over the vessel's seaworthiness.","Among the ten who died was the boat's own skipper, Mamode Dowlut, alongside nine young passengers including Irsand Pokun, Israq Khodabux and Yashill Oozeer - names still listed on the memorial.","","GPS: Google Places single match. Name translates as ""Memorial to the Shipwrecked of the Stargate"" - not independently researched, details of the wreck itself unconfirmed. | Expanded via WebSearch (lexpress.mu) 2026-09-17. Note: exact date of the sinking not confirmed by available sources (referenced in a 2003 news article) - description avoids stating a specific date.","-20.1539415","57.4875709","confirmed - google places (single match), content unverified","port-louis-memoire-des-naufrages-du-stargate.jpg","","","","","","","","",""
"Port Louis initial list","1","Les Salines Garden","quirky","Port Louis, Mauritius","","","","A public garden in the Les Salines district, named for a saltworks founded on the site in 1726 by salt-worker Jean Dominique Michel de Caudan during the era of Governor Mahé de Labourdonnais - salt was a vital commodity then, used to preserve meat for ships' stores. Also known as Robert Edward Hart Garden, it later became a pleasure ground and place of relaxation for Port Louis residents, and the district still holds Kwan Tee Pagoda, the oldest Chinese temple on the island, founded in 1842.","The salt pans that gave the district its name were founded in 1726, more than a decade before Port Louis itself became the island's capital under Labourdonnais in the 1730s.","","GPS: Google Places single match. Not independently researched. | Expanded via WebSearch (infoilemaurice.com) 2026-09-17","-20.1605512","57.4894478","confirmed - google places (single match)","port-louis-les-salines-garden.jpg","","","","","","","","",""
"Port Louis initial list","1","Tortoise Park","quirky","Port Louis, Mauritius","","","","A small tortoise enclosure in Port Louis, most likely home to Aldabra giant tortoises - a conservation-minded attraction of a type found at several sites around Mauritius. Fittingly, Port Louis itself was dubbed the 'Harbour of Tortoises' by early Dutch sailors who anchored here from 1606, giving any tortoise display in the capital a nice historical echo, even if this particular park's own founding history is not independently documented.","","","GPS: Google Places single match. Not independently researched - a good candidate for a quick photo-source visit if shortlisted, since tortoise parks are usually visually distinctive. | Expanded via WebSearch (mauritiusattractions.com, general Mauritius tortoise-park sources; historicmauritius/Port Louis Dutch-era naming): two attempts found no substantive independent source for this specific park - description draws on the general Port Louis 'Harbour of Tortoises' naming history and typical tortoise-park context only; interesting_fact left blank rather than fabricated. 2026-09-17","-20.1592789","57.4878258","confirmed - google places (single match)","port-louis-tortoise-park.jpg","","","","","","","","",""
"Port Louis initial list","1","Lenin Statue Bust","statue","Port Louis, Mauritius","","","","A bronze bust of Vladimir Lenin standing in a small square in Port Louis, an unlikely sight for a tropical island tour. It commemorates the Soviet Union's early recognition of Mauritian independence and Cold War-era ties between the two countries - one of the more unexpected monuments a visitor can stumble across in the capital.","The bust was installed in 1983 in what is known locally as Yuri Gagarin Square, named after the Soviet cosmonaut - making it a small cluster of Soviet-linked commemoration in one corner of Port Louis.","","GPS: Google Places single match. Historical/political context is a plausible inference, not independently verified - worth a WebSearch pass if shortlisted, as it's an unusual and potentially interesting story. | Expanded via WebSearch (rbth.com, Wikipedia list of Lenin sculptures) 2026-09-17","-20.1594014","57.4890984","confirmed - google places (single match), content unverified","port-louis-lenin-statue-bust.jpg","","","","","","","","",""
"Port Louis initial list","1","Cimetiere de l'Ouest","history","1 Cemetery Road, Port Louis, Mauritius","","","","The Western Cemetery of Port Louis, established in 1771 after its predecessor near the Pouce stream was closed over fears of infection - it was originally known as the Cimetière du Fort Blanc, after a nearby fort. Its ornate Creole, French and British tombstones and mausoleums chart the island's colonial history, though the cemetery, expanded to 60,000 square metres, was still overwhelmed by the catastrophic 1865-67 malaria epidemic that killed roughly a third of Port Louis's population.","The cemetery started out covering just 600 square metres in 1771 - a hundredth the size it eventually grew to as the city's burial needs multiplied over the following century.","","GPS: Google Places single match. Not independently researched. | Expanded via WebSearch (SOS Patrimoine en Péril, Geneanet) 2026-09-17","-20.1599011","57.4864133","confirmed - google places (single match)","port-louis-cimetiere-de-l-ouest.jpg","","","","","","","","",""
"Port Louis initial list","1","1892 Hurricane Memorial","history","Port Louis, Mauritius","","","","A memorial to the catastrophic cyclone of 29 April 1892, which struck Mauritius with winds over 195 km/h and remains one of the deadliest tropical cyclones ever recorded in the Southern Hemisphere. Roughly a third of Port Louis was flattened, some 1,500 houses were wrecked, 20,000 residents left homeless, and at least 596 people died in the city alone - out of about 1,200 deaths across the island.","The storm was powerful enough to snap the stone tomb-monument of Governor Malartic in Champ de Mars clean in two, a small but telling sign of just how violently the 1892 cyclone tore through the capital.","","GPS: Google Places single match. General knowledge of the 1892 cyclone's severity - the memorial's specific details (inscription, commissioning) not individually WebSearch-verified. | Expanded via WebSearch (Wikipedia 1892 Mauritius cyclone, vintagemauritius.org) 2026-09-17. Note: sources confirm the cyclone's severity in detail but no independently-documented specific memorial structure/inscription was found under this exact name - description focuses on the well-sourced disaster itself.","-20.1587515","57.4871723","confirmed - google places (single match)","port-louis-1892-hurricane-memorial.jpg","","","","","","","","",""
"Port Louis initial list","1","Marina","building","Port Louis, Mauritius","","","","A working small-boat marina on the Port Louis waterfront - locally known as ""Bassin des Chaloupes"" (basin of the whaleboats) - built as part of the Caudan Waterfront development that opened in 1996. It offers around 20 berths with power, water, showers and laundry facilities, with depths shifting between roughly 2 and 4 metres at low tide, and sits below the backdrop of the Moka mountain range, with fishing boats and pleasure craft moored side by side.","Port Louis is Mauritius's only official port of entry for yachts arriving from across the Indian Ocean - every visiting vessel must first clear Health, Immigration and Customs at the Customs Landing Steps in the main harbour (a fixed sequence that can take under an hour with an agent) before it's allowed to move here to the marina itself, and the commercial port only opens to arriving traffic between 6am and 6pm.","","GPS: Google Places single match, generic name. Functional waterfront infrastructure. | Expanded via WebSearch (caudan.com, wesailors.com) 2026-09-17. Generic name and location make it likely this is the Caudan Waterfront marina specifically - interesting_fact left blank since nothing distinctive/verifiable beyond berth count was found. | Further expanded 2026-09-17 via WebSearch (caudan.com ""The Marina"", mauport.com, noonsite.com cruiser clearance guide) - added local name ""Bassin des Chaloupes"" and the port-of-entry/clearance detail.","-20.1601104","57.4969383","confirmed - google places (single match)","port-louis-marina.jpg","","","","","","","","",""
